balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.6426241177140256,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-12.432438406213208,0.0,120,-51.44974208553913,0.0,120,-23.785734046390385,0.0,120,-26.62071185773957,0.0,120,-27.920825218977306,0.0,120,-0.19719936337967647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.6426241177140256,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-6.728071517324454,0.0,120,-11.150192147567243,0.0,120,-44.017108188366976,0.0,120,-28.779754120193587,0.0,120,-5.822051199866385,0.0,120,-29.388344644991786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.6426241177140256,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-5.5983402736696375,0.0,120,-23.1960281701448,0.0,120,-28.68556520502652,0.0,120,-32.918401015768204,0.0,120,-11.914329194874506,0.0,120,-51.61084270066804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.6426241177140256,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-11.365818408135569,0.0,120,-3.8809033653386726,0.0,120,-19.647623613683812,0.0,120,-8.690381714731439,0.0,120,-28.791064546884424,0.0,120,-54.94818108138244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.6426241177140256,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-55.95901505806286,0.0,120,-43.93717882522532,0.0,120,-24.714456581464034,0.0,120,-57.40691428846346,0.0,120,-37.041393790654794,0.0,120,-11.379805413327224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.6426241177140256,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-46.59680097440517,0.0,120,-33.57135643909695,0.0,120,-49.631361029421704,0.0,120,-18.640376344652083,0.0,120,-54.287990280583266,0.0,120,-47.49604450415584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.6426241177140256,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-13.948459362699715,0.0,120,-11.363665275694741,0.0,120,-41.57304195408529,0.0,120,-2.198731252979933,0.0,120,-32.482275113230244,0.0,120,-53.4744420312056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.6426241177140256,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-49.88885025568989,0.0,120,-14.991725536870323,0.0,120,-54.09055432392387,0.0,120,-30.444242337715266,0.0,120,-37.26669865347118,0.0,120,-46.7186018641312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.6426241177140256,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.75351715308751,0.0,120,-2.697428805839519,0.0,120,-23.55822758033238,0.0,120,-49.66386533222282,0.0,120,-53.26236765987779,0.0,120,-37.51263894963284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.6426241177140256,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-54.72497084225133,0.0,120,-57.19579020776044,0.0,120,-27.50542854862801,0.0,120,-13.719458614689046,0.0,120,-29.42027318691227,0.0,120,-11.520499033009798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.6426241177140256,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-51.95808254515332,0.0,120,-28.213275386661472,0.0,120,-5.1419859003345785,0.0,120,-40.1500684696362,0.0,120,-52.675504081573486,0.0,120,-21.890773955028052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.6426241177140256,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-31.435084075623518,0.0,120,-2.6798362021268263,0.0,120,-53.443368347664816,0.0,120,-35.36351636244824,0.0,120,-29.641431225336724,0.0,120,-2.6593009065745177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.6426241177140256,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-27.021987473299916,0.0,120,-34.93280988834986,0.0,120,-39.43558938635228,0.0,120,-2.8987357949712855,0.0,120,-31.946185130916376,0.0,120,-49.38657401206888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.6426241177140256,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-39.17541123843379,0.0,120,-48.69352712998509,0.0,120,-26.889461425467665,0.0,120,-57.96855450957975,0.0,120,-13.972058722090697,0.0,120,-34.280039129418675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.6426241177140256,203.3808938947232,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-48.97332470520168,0.0,120,-27.787833131681822,0.0,120,-20.698078367640775,0.0,120,-5.1474435551502555,0.0,120,-10.902988473952169,0.0,120,-10.437813981851033,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.6426241177140256,462.68936475409845,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-48.14604708857577,0.0,120,-12.074546041951844,0.0,120,-39.95984356389728,0.0,120,-49.497653887524606,0.0,120,-38.70689887303943,0.0,120,-23.524478436539614,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.6426241177140256,462.68936475409845,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-33.035443517587794,0.0,120,-8.10669726614778,0.0,120,-4.183971668036777,0.0,120,-47.48669243544648,0.0,120,-27.476047967396667,0.0,120,-8.391826001215408,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.6426241177140256,462.68936475409845,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-6.793366357873363,0.0,120,-46.46381281718489,0.0,120,-11.105990925570907,0.0,120,-54.879569498658036,0.0,120,-43.22928278958052,0.0,120,-14.732125818137177,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.6426241177140256,462.68936475409845,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-43.28376331444756,0.0,120,-48.01527304088778,0.0,120,-40.55039883794794,0.0,120,-44.83850573262937,0.0,120,-5.439516350857492,0.0,120,-23.106720181117367,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.6426241177140256,462.68936475409845,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-26.155421381132943,0.0,120,-31.970715858114318,0.0,120,-37.27411917201481,0.0,120,-20.848228871172157,0.0,120,-42.66243086963879,0.0,120,-56.2837032172349,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.6426241177140256,462.68936475409845,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-19.61868915265877,0.0,120,-54.47686192654824,0.0,120,-12.695638350441847,0.0,120,-12.025901386469046,0.0,120,-3.805080437411885,0.0,120,-26.175250253869475,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.6426241177140256,462.68936475409845,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-10.527639175093427,0.0,120,-3.8468719227866077,0.0,120,-55.35827570425844,0.0,120,-35.1775390870832,0.0,120,-45.74027185690941,0.0,120,-9.149855454273762,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.6426241177140256,462.68936475409845,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-35.232341001924816,0.0,120,-36.994962949218234,0.0,120,-8.009016511648452,0.0,120,-13.699980396878498,0.0,120,-40.66087827731253,0.0,120,-15.708004848079167,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.6426241177140256,462.68936475409845,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-23.05678645126394,0.0,120,-6.949352366660378,0.0,120,-59.512945033597994,0.0,120,-34.45345688425169,0.0,120,-24.46918391643542,0.0,120,-39.812371177856306,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
