balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-58.18064367097162,0.0,120,-40.600911304458194,0.0,120,-5.803187321726178,0.0,120,-19.16268218889392,0.0,120,-3.8337541243153517,0.0,120,-35.58887307522463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-13.8662157127945,0.0,120,-42.70271342190835,0.0,120,-3.036146271222573,0.0,120,-37.25629704934827,0.0,120,-48.462981609065224,0.0,120,-25.25527285560293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-53.39608109813972,0.0,120,-18.385026931497187,0.0,120,-44.3594079358963,0.0,120,-26.70454503447575,0.0,120,-57.5542063568024,0.0,120,-28.52425658158377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.4980575792637,0.0,120,-14.667530110931594,0.0,120,-8.718438005086613,0.0,120,-52.852415363059606,0.0,120,-10.536852838707947,0.0,120,-41.48661137682884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-29.814309912261706,0.0,120,-37.4923270918523,0.0,120,-28.998760087487682,0.0,120,-6.362692004473289,0.0,120,-26.667263946168116,0.0,120,-20.95099794528771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-12.398749044565847,0.0,120,-1.5093823264099782,0.0,120,-12.30824677102637,0.0,120,-40.70957805135133,0.0,120,-18.34096539918727,0.0,120,-9.994247862291823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-1.6749781436022437,0.0,120,-59.57798110057057,0.0,120,-40.324167547976174,0.0,120,-53.308196469064924,0.0,120,-44.310925925359534,0.0,120,-43.04092896316314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-59.849035533586616,0.0,120,-13.780341100637177,0.0,120,-59.187737687358016,0.0,120,-41.35206350641411,0.0,120,-39.98296116197606,0.0,120,-5.991721439499287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-57.523130981376546,0.0,120,-42.81399592726916,0.0,120,-10.314549916257526,0.0,120,-35.069555819122726,0.0,120,-27.24223271949991,0.0,120,-14.771220414759137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-51.564880512563136,0.0,120,-16.700463551937872,0.0,120,-25.341482007733468,0.0,120,-38.451630336372304,0.0,120,-19.885161999642854,0.0,120,-17.368647777883194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-39.44262853565684,0.0,120,-21.564313856739496,0.0,120,-10.043230732949226,0.0,120,-37.73077609908544,0.0,120,-4.371967504681948,0.0,120,-34.1281906693779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-14.279899676445043,0.0,120,-26.555603029140414,0.0,120,-58.59145206095955,0.0,120,-26.280707887700302,0.0,120,-19.2930677224191,0.0,120,-1.4524563876782026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-31.187762776975333,0.0,120,-29.464973498015286,0.0,120,-44.74830495327827,0.0,120,-41.94157204891587,0.0,120,-28.504239733598578,0.0,120,-25.147136958339843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.3637492395264117,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-22.72272816879296,0.0,120,-31.367728670875447,0.0,120,-27.909374930334295,0.0,120,-17.680926490771867,0.0,120,-21.801698581348287,0.0,120,-48.773143711594344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.3637492395264117,115.12117807151628,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-17.61749542337544,0.0,120,-10.158323799975147,0.0,120,-49.396627017176066,0.0,120,-21.971184269580025,0.0,120,-43.279342130290985,0.0,120,-1.413947722212685,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-30.794685947382934,0.0,120,-5.933988757827087,0.0,120,-12.629361245800649,0.0,120,-58.76014357963427,0.0,120,-35.336031158328595,0.0,120,-50.96704482543047,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-5.7148817755223895,0.0,120,-43.17326358653412,0.0,120,-55.943306680210405,0.0,120,-46.515949398002824,0.0,120,-59.52040617988442,0.0,120,-29.87375133635169,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-13.364804931930376,0.0,120,-8.28865535342179,0.0,120,-12.365018389384865,0.0,120,-1.280146049801305,0.0,120,-45.37667559722905,0.0,120,-48.86204867216845,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-41.01399700569131,0.0,120,-29.99564788446493,0.0,120,-8.434417350461214,0.0,120,-51.608873804348846,0.0,120,-48.900376732814564,0.0,120,-30.769940131396673,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-56.015456254717556,0.0,120,-34.8071866166438,0.0,120,-59.07886148485546,0.0,120,-35.9290185644267,0.0,120,-34.88690013725269,0.0,120,-29.64076664908099,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-26.403112348859047,0.0,120,-33.33726382697191,0.0,120,-59.08626938438688,0.0,120,-56.46100242735764,0.0,120,-48.31627298069522,0.0,120,-42.65528538868543,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-11.41550685096231,0.0,120,-6.713125444598069,0.0,120,-59.40356319148161,0.0,120,-8.71183669024263,0.0,120,-1.6629686488940987,0.0,120,-45.882827824387675,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-22.408949200922525,0.0,120,-5.367804986894498,0.0,120,-45.03059986861766,0.0,120,-4.757035658108981,0.0,120,-4.532811751768704,0.0,120,-11.934367402374242,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.3637492395264117,261.8994524590164,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-39.44837240940393,0.0,120,-31.00343666418774,0.0,120,-41.40839084043437,0.0,120,-36.98494044894779,0.0,120,-12.458254457542598,0.0,120,-58.80413617881842,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
